,Type,Name,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
50,APPLES,RAW,85.42777777777776,55.888888888888886,0.27888888888888885,0.21333333333333326,0.2144444444444444,13.865555555555556,2.3111111111111113,10.585555555555555,5.777777777777778,0.12888888888888891,4.444444444444445,10.666666666666666,102.11111111111111,1.0,0.04222222222222222,0.030333333333333337,0.05711111111111111,0.07777777777777778,1.011111111111111,0.01677777777777778,0.023111111111111114,0.08644444444444445,0.05677777777777778,0.04266666666666666,2.2222222222222223,0.0,2.2222222222222223,0.5555555555555556,3.5888888888888886,0.0,49.77777777777778,2.5555555555555554,0.0,0.0,24.333333333333332,11.0,0.0,25.77777777777778,0.14333333333333334,0.0,0.0,1.5555555555555556,0.019444444444444445,0.004777777777777778,0.034888888888888886,0.0,124.55555555555556,160.22222222222223,9.444444444444445
51,APPLESAUCE,CND,84.5,57.0,0.17,0.13749999999999998,0.2075,14.985,1.15,8.3625,3.75,0.23249999999999998,3.0,5.75,71.0,8.5,0.0325,0.03225,0.03875,0.3,6.3999999999999995,0.020499999999999997,0.0275,0.10700000000000001,0.044500000000000005,0.02675,2.0,0.0,2.0,2.0,1.925,0.0,18.75,0.75,0.0,0.0,4.0,2.75,0.0,9.0,0.125,0.0,0.0,0.4,0.019000000000000003,0.0045000000000000005,0.034,0.0,247.25,0.0,0.0
52,APRICOT NECTAR,CND,84.87,56.0,0.37,0.09,0.29,14.39,0.6,13.515,7.0,0.38,5.0,9.0,114.0,3.0,0.09,0.073,0.032,0.1,9.100000000000001,0.009,0.014,0.26,0.096,0.022,1.0,0.0,1.0,1.0,0.5,0.0,1316.0,66.0,0.0,0.0,393.0,3.5,0.0,7.0,0.155,0.0,0.0,0.6,0.006,0.038,0.017,0.0,251.0,31.4,0.0
53,APRICOTS,CND,83.15333333333335,61.55555555555556,0.5988888888888888,0.07777777777777779,0.36333333333333334,15.80888888888889,1.6666666666666667,7.66,9.444444444444445,0.3888888888888889,7.777777777777778,14.11111111111111,148.0,6.222222222222222,0.10444444444444444,0.06966666666666667,0.046,0.05555555555555555,3.1333333333333333,0.019,0.021888888888888885,0.3986666666666666,0.08177777777777777,0.05411111111111111,2.0,0.0,2.0,2.0,1.1111111111111114,0.0,1657.5555555555557,83.11111111111111,0.0,0.0,605.5555555555555,5.666666666666667,0.0,15.88888888888889,0.3655555555555556,0.0,0.0,1.3444444444444446,0.005222222222222223,0.03277777777777778,0.015000000000000001,0.0,243.88888888888889,59.333333333333336,2.0
54,APRICOTS,DEHYD (LOW-MOISTURE),35.55,223.0,3.415,0.43,2.85,57.754999999999995,0.0,0.0,42.5,4.395,44.0,109.5,1289.0,9.0,0.6950000000000001,0.40149999999999997,0.257,0.0,8.3,0.027999999999999997,0.1075,2.605,0.7675,0.3405,3.0,0.0,3.0,3.0,0.0,0.0,8538.0,426.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1865,0.08399999999999999,0.0,184.0,0.0,0.0
55,APRICOTS,DRIED,58.29999999999999,146.33333333333334,1.92,0.27999999999999997,1.4866666666666666,38.016666666666666,4.666666666666667,24.336666666666662,29.666666666666668,1.7066666666666668,19.333333333333332,44.666666666666664,672.0,5.666666666666667,0.25666666666666665,0.2006666666666667,0.13533333333333333,1.0,0.9,0.008333333333333333,0.042333333333333334,1.4523333333333335,0.306,0.09899999999999999,4.333333333333333,0.0,4.333333333333333,4.333333333333333,6.266666666666667,0.0,2339.3333333333335,117.0,0.0,0.0,976.0,0.0,0.0,0.0,1.9533333333333334,0.0,0.0,1.4000000000000001,0.011000000000000001,0.05466666666666666,0.043000000000000003,0.0,216.66666666666666,1.1666666666666667,0.0
56,APRICOTS,FROZEN,73.3,98.0,0.7,0.1,0.8,25.1,2.2,0.0,10.0,0.9,9.0,19.0,229.0,4.0,0.1,0.064,0.05,0.4,9.0,0.02,0.04,0.8,0.2,0.06,2.0,0.0,2.0,2.0,0.0,0.0,1680.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.044,0.02,0.0,242.0,0.0,0.0
57,APRICOTS,RAW,86.35,48.0,1.4,0.39,0.75,11.12,2.0,9.24,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,0.077,0.1,10.0,0.03,0.04,0.6,0.24,0.054,9.0,0.0,9.0,9.0,2.8,0.0,1926.0,96.0,0.0,19.0,1094.0,104.0,0.0,89.0,0.89,0.0,0.0,3.3,0.027,0.17,0.077,0.0,155.0,165.0,7.0
58,ARBY'S,RST BF SNDWCH,49.91,242.0,15.17,10.3,2.41,22.21,1.3,3.84,55.0,2.64,23.0,200.0,224.0,653.0,2.27,0.109,0.234,18.2,0.0,0.217,0.287,4.343,0.0,0.215,51.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399,3.987,1.762,30.0,149.0,0.0,0.0
59,ARCHWAY HOME STYLE COOKIES,FROSTY LEMON,12.03,430.0,4.41,17.11,1.67,64.78,0.7,33.35,41.0,1.62,0.0,0.0,92.0,449.0,0.0,0.0,0.0,0.0,0.0,0.24,0.2,1.95,0.0,0.0,59.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,5.75,0.92,0.0,26.0,0.0,0.0
60,ARCHWAY HOME STYLE COOKIES,PNUT BUTTER,6.35,480.0,9.0,24.28,1.9,58.48,2.8,32.55,35.0,2.72,0.0,0.0,209.0,404.0,0.0,0.0,0.0,0.0,0.0,0.24,0.2,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,10.21,4.23,37.0,21.0,0.0,0.0
61,ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED,14.99,400.0,4.35,13.26,1.48,65.92,2.2,31.76,20.0,2.32,0.0,0.0,118.0,334.0,0.0,0.0,0.0,0.0,0.0,0.34,0.18,2.13,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,4.14,1.1,6.0,25.0,0.0,0.0
62,ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL,5.0,442.0,5.54,20.92,1.34,67.2,1.9,1.26,20.0,1.96,0.0,0.0,87.0,308.0,0.0,0.0,0.0,0.0,0.0,0.27,0.17,1.81,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,7.86,1.31,0.0,24.0,0.0,0.0
63,ARCHWAY Home Style Cookies, Chocolate Chip Ice Box,5.01,497.0,4.28,24.4,1.28,65.02,2.0,34.06,14.0,2.63,0.0,0.0,127.0,270.0,0.0,0.0,0.0,0.0,0.0,0.25,0.17,2.06,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,8.94,1.43,13.0,24.0,0.0,0.0
64,ARCHWAY Home Style Cookies, Coconut Macaroon,11.5,460.0,3.02,22.55,1.71,61.23,5.1,45.16,5.0,0.82,0.0,0.0,123.0,200.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.22,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,1.61,0.81,0.0,22.0,0.0,0.0
65,ARCHWAY Home Style Cookies, Date Filled Oatmeal,13.49,400.0,4.67,12.05,1.62,68.16,2.1,34.27,28.0,2.26,0.0,0.0,159.0,331.0,0.0,0.0,0.0,0.0,0.0,0.28,0.17,1.99,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,4.82,1.11,6.0,25.0,0.0,0.0
66,ARCHWAY Home Style Cookies, Dutch Cocoa,9.32,431.0,4.5,14.99,1.75,69.44,2.6,35.35,13.0,3.36,0.0,0.0,239.0,384.0,0.0,0.0,0.0,0.0,0.0,0.26,0.18,2.22,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,5.94,1.18,7.0,24.0,0.0,0.0
67,ARCHWAY Home Style Cookies, Iced Molasses,10.34,420.0,3.5,14.43,2.61,69.12,1.0,38.43,24.0,4.1,0.0,0.0,125.0,605.0,0.0,0.0,0.0,0.0,0.0,0.26,0.19,2.39,0.0,0.0,61.0,0.0,61.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,4.75,2.44,12.0,28.0,0.0,0.0
68,ARCHWAY Home Style Cookies, Iced Oatmeal,9.99,435.0,4.89,16.53,1.84,66.76,2.0,37.2,32.0,2.19,0.0,0.0,185.0,377.0,0.0,0.0,0.0,0.0,0.0,0.27,0.15,1.64,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,5.61,2.72,8.0,28.0,0.0,0.0
69,ARCHWAY Home Style Cookies, Molasses,11.43,403.0,4.25,12.06,2.85,69.41,1.2,36.35,29.0,4.68,0.0,0.0,117.0,577.0,0.0,0.0,0.0,0.0,0.0,0.3,0.23,2.71,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,4.86,1.05,25.0,26.0,0.0,0.0
70,ARCHWAY Home Style Cookies, Oatmeal,10.28,421.0,5.48,14.08,2.0,68.17,2.9,34.5,35.0,2.45,0.0,0.0,219.0,394.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.88,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,5.66,1.33,10.0,25.0,0.0,0.0
71,ARCHWAY Home Style Cookies, Oatmeal Raisin,11.53,406.0,5.17,12.08,1.95,69.27,2.7,39.55,38.0,2.4,0.0,0.0,285.0,339.0,0.0,0.0,0.0,0.0,0.0,0.28,0.16,1.69,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,4.85,1.16,8.0,26.0,0.0,0.0
72,ARCHWAY Home Style Cookies, Old Fashioned Molasses,10.41,406.0,4.27,11.83,2.94,70.55,1.1,36.09,32.0,4.99,0.0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,0.31,0.24,2.84,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,4.8,1.0,25.0,26.0,0.0,0.0
73,ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies,3.0,468.0,5.17,17.55,2.05,72.23,1.8,32.64,36.0,3.06,0.0,0.0,113.0,471.0,0.0,0.0,0.0,0.0,0.0,0.34,0.25,2.94,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,7.82,1.67,1.0,20.0,0.0,0.0
74,ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps,5.22,424.0,4.67,11.14,2.75,76.23,1.1,36.28,62.0,12.57,0.0,0.0,309.0,406.0,0.0,0.0,0.0,0.0,0.0,0.32,0.22,2.86,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.58,1.65,1.0,32.0,0.0,0.0
75,ARCHWAY Home Style Cookies, Strawberry Filled,14.99,400.0,4.35,13.26,1.48,65.92,2.2,31.76,20.0,2.32,0.0,0.0,118.0,377.0,0.0,0.0,0.0,0.0,0.0,0.34,0.18,2.13,0.0,0.0,62.0,0.0,62.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,4.14,1.1,6.0,25.0,0.0,0.0
76,ARROWHEAD,CKD,77.08,78.0,4.49,0.1,2.19,16.14,0.0,0.0,7.0,1.21,49.0,197.0,881.0,136.0,0.22,0.135,0.285,0.6,0.3,0.144,0.06,1.16,0.449,0.206,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
77,ARROWHEAD,RAW,72.48,99.0,5.33,0.29,1.67,20.23,0.0,0.0,10.0,2.57,51.0,174.0,922.0,22.0,0.28,0.171,0.36,0.7,1.1,0.17,0.073,1.65,0.599,0.26,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,25.0
78,ARROWROOT,RAW,80.75,65.0,4.24,0.2,1.42,13.39,1.3,0.0,6.0,2.22,25.0,98.0,454.0,26.0,0.63,0.121,0.174,0.7,1.9,0.143,0.059,1.693,0.292,0.266,338.0,0.0,338.0,338.0,0.0,0.0,19.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.004,0.092,0.0,120.0,33.0,15.0
79,ARROWROOT FLOUR,0,11.37,357.0,0.3,0.1,0.08,88.15,3.4,0.0,40.0,0.33,3.0,5.0,11.0,2.0,0.07,0.04,0.47,0.0,0.0,0.001,0.0,0.0,0.13,0.005,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.002,0.045,0.0,128.0,0.0,0.0
80,ARTICHOKES,(GLOBE OR FRENCH),85.78166666666668,46.5,2.983333333333333,0.3766666666666667,0.8649999999999999,9.993333333333332,4.983333333333333,0.7749999999999999,24.5,0.6866666666666666,38.833333333333336,69.33333333333333,286.3333333333333,139.83333333333334,0.38833333333333336,0.11016666666666668,0.24916666666666668,0.19999999999999998,6.966666666666666,0.059000000000000004,0.11666666666666665,0.9926666666666669,0.2343333333333333,0.08900000000000001,101.66666666666667,0.0,101.66666666666667,101.66666666666667,26.933333333333334,0.0,35.833333333333336,2.1666666666666665,0.0,0.0,6.333333333333333,0.0,0.0,363.3333333333333,0.14833333333333334,0.0,0.0,11.600000000000001,0.08850000000000001,0.011500000000000002,0.16083333333333336,0.0,131.33333333333334,177.5,30.0
81,ARTIFICIAL BLUEBERRY MUFFIN MIX,DRY,6.4,407.0,4.7,8.7,2.75,77.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865,3.742,1.679,0.0,31.0,0.0,0.0
82,ARUGULA,RAW,91.71,25.0,2.58,0.66,1.4,3.65,1.6,2.05,160.0,1.46,47.0,52.0,369.0,27.0,0.47,0.076,0.321,0.3,15.0,0.044,0.086,0.305,0.437,0.073,97.0,0.0,97.0,97.0,15.3,0.0,2373.0,119.0,0.0,0.0,1424.0,0.0,0.0,3555.0,0.43,0.0,0.0,108.6,0.086,0.049,0.319,0.0,2.0,10.0,40.0
83,ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),0,90.4,20.0,3.8,0.5,3.1,0.0,0.0,0.0,47.0,3.3,0.0,0.0,102.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.2,7.0,0.0,0.0,0.0
84,ASPARAGUS,CKD,92.63,22.0,2.4,0.22,0.63,4.11,2.0,1.3,23.0,0.91,14.0,54.0,224.0,127.0,0.6,0.165,0.154,6.1,7.7,0.162,0.139,1.084,0.225,0.079,149.0,0.0,149.0,149.0,26.1,0.0,1006.0,50.0,0.0,0.0,604.0,0.0,30.0,771.0,1.5,0.0,0.0,50.6,0.048,0.0,0.105,0.0,90.0,60.0,0.0
85,ASPARAGUS,CND,94.20666666666666,16.333333333333332,1.9133333333333333,0.33666666666666667,1.07,2.473333333333333,1.2,0.6866666666666666,15.333333333333334,1.01,9.333333333333334,39.666666666666664,172.0,199.0,0.4466666666666666,0.10333333333333333,0.158,1.6333333333333335,17.133333333333333,0.056333333333333326,0.09266666666666667,0.8853333333333332,0.129,0.10200000000000002,88.66666666666667,0.0,88.66666666666667,88.66666666666667,7.133333333333333,0.0,708.0,26.666666666666668,0.0,0.0,319.3333333333333,0.0,15.666666666666666,408.3333333333333,0.89,0.0,0.0,26.766666666666666,0.07733333333333332,0.011000000000000001,0.14933333333333335,0.0,162.0,280.0,0.0
86,ASPARAGUS,FRZ,93.33999999999999,20.0,3.0433333333333334,0.3566666666666667,0.6133333333333333,2.6466666666666665,1.7,0.21333333333333335,20.333333333333332,0.6166666666666667,11.333333333333334,54.0,199.0,83.66666666666667,0.47,0.11566666666666665,0.161,3.1666666666666665,26.866666666666664,0.08366666666666667,0.11233333333333333,1.0926666666666667,0.16666666666666666,0.050333333333333334,153.66666666666666,0.0,153.66666666666666,153.66666666666666,13.933333333333332,0.0,853.3333333333334,42.333333333333336,0.0,0.0,322.0,0.0,16.0,412.0,0.7999999999999999,0.0,0.0,53.333333333333336,0.08133333333333333,0.011000000000000001,0.157,0.0,139.33333333333334,290.0,0.0
87,ASPARAGUS,RAW,93.22,20.0,2.2,0.12,0.58,3.88,2.1,1.88,24.0,2.14,14.0,52.0,202.0,2.0,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52.0,0.0,52.0,52.0,16.0,0.0,756.0,38.0,0.0,9.0,449.0,0.0,0.0,710.0,1.13,0.0,0.0,41.6,0.04,0.0,0.05,0.0,134.0,12.0,47.0
88,AUSTIN,CHEDDAR CHS ON CHS CRACKERS,2.35,477.5,7.65,21.2,0.0,64.0,1.35,14.05,152.0,3.3,12.0,186.5,265.5,892.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004,0.275,3.65,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,4.550000000000001,10.25,3.0,37.5,0.0,0.0
89,AUSTIN,CHEDDAR CHS ON WAFER CRACKERS,2.7,489.0,7.8,23.0,0.0,62.6,1.3,14.3,156.0,3.2,12.0,139.0,301.0,978.0,0.0,0.0,0.0,0.0,0.0,0.42,0.27,3.6,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.9,11.0,3.0,39.0,0.0,0.0
90,AUSTIN,CHEDDAR CHS ON WHEAT CRACKERS,2.7,495.0,7.9,24.5,0.0,61.4,1.8,14.6,151.0,3.0,10.0,195.0,310.0,839.0,0.0,0.0,0.0,0.0,0.0,0.39,0.25,3.5,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,5.3,11.8,3.0,39.0,0.0,0.0
91,AUSTIN,CHOCOLATEY PNUT BUTTER CRACKERS,2.7,479.0,7.7,20.8,0.0,66.2,2.0,17.3,0.0,3.1,11.0,116.0,65.0,584.0,0.0,0.0,0.0,0.0,0.0,0.41,0.26,3.5,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.8,9.2,0.0,39.0,0.0,0.0
92,AUSTIN,GRILLED CHS ON WAFER CRACKERS,2.7,493.0,7.9,23.8,0.0,62.0,1.3,12.6,129.0,3.2,12.0,138.0,272.0,910.0,0.0,0.0,0.0,0.0,0.0,0.42,0.27,3.6,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,5.0,11.0,3.0,39.0,0.0,0.0
93,AUSTIN,PB & J CRACKERS,2.7,484.0,7.6,21.7,0.0,65.7,2.0,16.7,0.0,3.1,11.0,117.0,66.0,582.0,0.0,0.0,0.0,0.0,0.0,0.41,0.26,3.5,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.9,9.6,0.0,39.0,0.0,0.0
94,AUSTIN,PNUT BUTTER ON CHS CRACKERS,2.35,476.5,10.25,21.2,0.0,62.65,2.95,9.0,25.0,3.5,12.5,186.5,69.5,784.5,0.0,0.0,0.0,0.0,0.0,0.435,0.28500000000000003,3.75,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,7.2,9.15,0.0,37.5,0.0,0.0
95,AUSTIN,PNUT BUTTER ON TOASTY CRACKERS,2.7,476.0,10.05,20.9,0.0,63.7,2.95,11.7,27.0,3.3,12.0,118.5,67.0,710.0,0.0,0.0,0.0,0.0,0.0,0.415,0.27,3.55,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,7.1,7.45,0.0,37.5,0.0,0.0
96,AVOCADOS,RAW,74.79,149.0,2.063333333333333,13.376666666666667,1.4400000000000002,8.33,6.366666666666667,1.1266666666666667,11.666666666666666,0.44333333333333336,27.333333333333332,48.666666666666664,447.6666666666667,5.666666666666667,0.5733333333333334,0.22366666666666668,0.12866666666666668,0.26666666666666666,12.066666666666668,0.05433333333333334,0.10866666666666668,1.4406666666666668,1.2610000000000001,0.20733333333333334,68.33333333333333,0.0,68.33333333333333,68.33333333333333,9.466666666666667,0.0,144.33333333333334,7.0,0.0,25.0,59.333333333333336,30.333333333333332,0.0,180.66666666666666,2.2333333333333334,0.0,0.0,14.0,2.0706666666666664,8.370333333333333,1.7693333333333332,0.0,203.33333333333334,223.33333333333334,30.666666666666668
97,BABYFD,FRU,72.23,109.0,0.71,0.37,0.91,25.78,1.4,19.29,0.0,0.14,30.0,24.0,395.0,1.0,0.23,0.087,0.3,1.1,12.9,0.035,0.08,0.728,0.368,0.395,22.0,0.0,22.0,22.0,10.8,0.0,69.0,3.0,0.0,27.0,28.0,0.0,0.0,24.0,0.12,0.0,0.0,0.6,0.121,0.036,0.084,0.0,140.0,0.0,0.0
98,BABYFD,SNK,2.6,503.0,0.0,28.57,7.24,61.59,0.0,0.0,285.0,6.4,69.0,1044.0,214.0,71.0,3.57,0.16,0.312,12.1,0.0,0.169,0.099,1.291,0.493,0.258,19.0,0.0,19.0,19.0,16.6,0.1,265.0,39.0,31.0,43.0,75.0,0.0,0.0,914.0,8.57,0.1,3.0,9.8,4.669,14.682,7.698,13.0,7.0,0.0,0.0
99,BABYFOO,BAN WI MIX BERR,76.68,92.0,1.01,0.36,0.65,21.31,1.0,15.0,0.0,0.0,23.0,20.0,283.0,0.0,0.23,0.094,0.351,0.8,18.2,0.028,0.058,0.623,0.295,0.257,20.0,0.0,20.0,20.0,8.9,0.0,51.0,3.0,0.0,20.0,20.0,0.0,0.0,47.0,0.37,0.0,0.0,6.3,0.081,0.036,0.123,0.0,99.0,0.0,0.0
100,BABYFOOD,APPL YOGURT DSSRT,77.9,96.0,0.8,1.6,0.2,19.5,0.5,12.02,6.0,0.0,15.0,31.0,70.0,20.0,0.28,0.05,0.0,0.7,35.1,1.56,0.05,0.0,0.0,0.02,9.0,0.0,9.0,9.0,5.4,0.5,24.0,3.0,2.0,0.0,7.0,5.0,0.0,7.0,0.02,0.0,0.0,0.2,1.034,0.438,0.044,6.0,15.0,113.0,0.0
101,BABYFOOD,APPLE-BANANA JUC,87.1,51.0,0.2,0.1,0.26,12.3,0.2,11.0,7.0,0.2,6.0,8.0,123.0,4.0,0.04,0.02,0.08,0.3,27.9,0.01,0.01,0.14,0.125,0.06,1.0,0.0,1.0,1.0,2.3,0.0,9.0,0.0,0.0,3.0,4.0,0.0,0.0,16.0,0.02,0.0,0.0,0.0,0.018,0.004,0.034,0.0,31.2,131.0,0.0
102,BABYFOOD,APPLE-CRANBERRY JUC,88.3,46.0,0.0,0.02,0.19,11.49,0.0,6.88,6.0,0.22,3.0,7.0,97.0,5.0,0.05,0.01,0.16,0.1,27.9,0.0,0.02,0.07,0.0,0.03,0.0,0.0,0.0,0.0,3.4,0.0,28.0,1.0,0.0,0.0,17.0,0.0,0.0,49.0,0.56,0.0,0.0,2.4,0.007,0.001,0.012,0.0,31.2,0.0,0.0
103,BABYFOOD,APPLS,87.5,51.0,0.2,0.1,0.13,12.1,0.9,10.83,10.0,0.2,6.0,13.0,50.0,6.0,0.04,0.02,0.04,0.3,31.3,0.01,0.02,0.08,0.039,0.05,1.0,0.0,1.0,1.0,3.4,0.0,31.0,2.0,0.0,0.0,14.0,10.0,0.0,19.0,0.23,0.0,0.0,0.6,0.02,0.004,0.03,0.0,28.35,0.0,0.0
104,BABYFOOD,APPLS W/HAM,85.3,62.0,2.6,0.9,0.3,10.9,1.8,7.98,4.0,0.3,7.0,34.0,120.0,9.0,0.4,0.04,0.02,4.6,0.1,0.06,0.06,0.73,0.097,0.07,2.0,0.0,2.0,2.0,11.8,0.02,6.0,0.0,0.0,0.0,3.0,2.0,0.0,14.0,0.07,0.1,3.0,0.5,0.25,0.36,0.111,8.0,15.0,113.0,0.0
105,BABYFOOD,BABY MUM MUM RICE BISCUITS,2.42,391.0,12.5,0.87,0.99,83.21,0.0,12.5,0.0,0.0,47.0,127.0,504.0,313.0,0.65,0.156,0.732,8.0,0.0,0.174,0.037,2.896,0.623,0.571,14.0,0.0,14.0,14.0,21.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.238,0.224,0.255,0.0,8.0,0.0,0.0
