Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
mutton cooked,1.31,234,33.43,11.09,0.08,0,0,0,0.377,4.44,0,0.8,0,6.52,0.3,0.06,10,0.062,4.76,31,0.033,272,38,5.93
oil spotted seal alaska native,1.37,894,0,99.32,0,0,0,1044,0,0,0,6.28,0,0,0,0,0,0,0,0,0,0,2.2,0
oil whale,1.126,900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhubarb wild,1.33,61,4.2,0.5,9.9,0,0,0,0,0,33,0,0,0.1,0,0.1,0,0,0,0,0,87,0,0
smelt dried alaska native,0.612069375,386,56.19,17.9,0,0,0,139,0.176,19.1,0,4.51,0,5.97,0.262,0.073,1600,0.148,5.4,89,0.72,1400,194,6.7
soup fish,0.375669154,72,7.4,2.2,5.6,0,0,0,0.01,0,0.3,0,0,2.64,0.02,0.07,35,0,0.5,1,0.01,112,0,0
squash indian,6.6,21,0.415,0.175,4.43,2.78,0.75,0,0.0455,0,2.25,0,0,0.136,0.0175,0.015,4.5,0.0085,0.085,5,0.0135,6,0,0.035
squirrel ground,1.02,111,19.3,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,175,0,0
stew moose alaska native,4.3,55,6.6,0.5,6,0,0.5,0,0.03,0,1,0,0,1.5,0.08,0.06,12,0.02,1.52,6,0.09,16,0,0.12
stew mutton,1.32,103,8.62,4.34,7.27,0.61,1.7,0,0.108,1.16,0,0.37,0,2,0.11,0.03,38,0.063,1.21,21,0.087,111,8.4,1.87
stew pinto bean and hominy,1.49,32,1.42,0.54,5.38,0,1.5,0,0.036,0,0,0.04,0,0.097,0,0,7,0.036,0.37,11,0.059,25,2.2,0.18
