,Typology,Sub-typology,Item,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
119,EDIBLE INSECTS* (mealworms),-,mealworms,1,2.84,2.84,-,2.84,2.84,-,2.84,2.84,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
120,EGGS*,-,eggs,51,3.228266612,3.2,1.215115527,0.718,6.0,0.85,2.236383333,4.039,0.3763987528,0.1921865,2.485863,0.65353,G,n.a.,G,ITEM matching with TYPOLOGY
121,HONEY*,-,honey,2,1.7425,1.7425,0.8075,0.935,2.55,0.8075,1.33875,2.14625,0.4634146341,-,-,-,R,n.a,R,ITEM matching with TYPOLOGY
122,KANGAROO MEAT*,-,kangaroo meat,1,4.1,4.1,-,4.1,4.1,-,4.1,4.1,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
123,LAMB BONE FREE MEAT*,-,lamb bone free meat,55,27.20904498,25.23255814,11.72523228,10.05,56.7,8.534970013,17.12379406,34.44418605,0.4309314161,0.583,2.443,0.015,G,G,Y,ITEM
124,LAMB MEAT WITH BONE*,-,lamb meat with bone,55,18.00556969,16.70108837,7.738653307,6.6806,37.4696,5.633080209,11.34930408,22.78076279,0.4297921944,0.583,2.443,0.015,G,G,Y,ITEM
125,MILK,-,buffalo milk,7,3.751428571,3.57,0.7923099785,2.87,5.2,0.49,3.135,4.175,0.211202203,0.712,2.113,0.347,Y,G,G,ITEM
126,MILK,-,cow milk,364,1.432598057,1.305,0.724254412,0.54,8.44,0.195,1.14,1.54,0.5055531161,6.29023,54.22314,0,G,G,R,ITEM
127,MILK,-,goat milk,2,1.437,1.437,0.025,1.412,1.462,0.025,1.4245,1.4495,0.0173973556,-,-,-,R,G,R,TYPOLOGY
128,PORK BONE FREE MEAT*,-,pork bone free meat,135,5.786150705200001,5.716744186,1.6909596307562285,2.11,11.86440678,1.1367441859999996,4.475,6.588604651,0.29224258352561866,0.6258953,3.442821,0.00539,G,G,R,ITEM
129,PORK CURED MEAT,-,bacon,2,4.025,4.025,1.025,3.0,5.05,1.025,3.5125,4.5375,0.2546583851,-,-,-,R,G,R,TYPOLOGY
130,PORK CURED MEAT,-,neck,2,4.025,4.025,1.025,3.0,5.05,1.025,3.5125,4.5375,0.2546583851,-,-,-,R,G,R,TYPOLOGY
131,PORK CURED MEAT,-,pork ham,4,7.9325,7.945,4.036566456,3.0,12.84,3.895,4.5375,11.34,0.5088643499,-0.005,1.236,0.514,Y,G,G,ITEM
132,PORK CURED MEAT,-,pork sausages,1,17.94,17.94,-,17.94,17.94,-,17.94,17.94,-,-,-,n.a.,R,R,R,TYPOLOGY
133,PORK MEAT WITH BONE*,-,pork meat with bone,131,3.49622331,3.444,0.9987176131,1.3023,7.0574,0.6844,2.69765,3.96025,0.2856561279,0.606,3.41,0.006,G,G,R,ITEM
134,POULTRY BONE FREE MEAT,-,chicken bone free meat,100,4.239098846,3.676746753,2.073979131,1.05974026,16.2862963,0.9399199134,2.776839827,5.353528139,0.4892500048,2.377,12.862,0,G,G,R,ITEM
135,POULTRY BONE FREE MEAT,-,emu bone free meat,1,1.5,1.5,-,1.5,1.5,-,1.5,1.5,-,-,-,n.a.,R,R,R,TYPOLOGY
136,POULTRY BONE FREE MEAT,,duck meat bone free,1,4.1,4.1,-,4.1,4.1,-,4.1,4.1,-,-,-,,R,G,R,TYPOLOGY
137,POULTRY BONE FREE MEAT,,turkey meat bone free,12,5.106728977,4.084444445,1.976722771,2.806666667,8.490566038,0.518518519,3.72537037,7.264210343,0.3870819814,0.6721438,1.708933,0.0103,G,G,Y,ITEM or TYPOLOGY
138,POULTRY MEAT WITH BONE,-,chicken meat with bone,98,3.24822457,2.8221,1.549096916,0.8482000002,12.57264815,0.7136,2.168922222,4.136941666,0.4769057321,2.513131,14.45395,0,G,G,R,ITEM
139,POULTRY MEAT WITH BONE,-,duck meat with bone,1,2.07,2.07,-,2.07,2.07,-,2.07,2.07,-,-,-,n.a.,R,G,R,TYPOLOGY
140,POULTRY MEAT WITH BONE,-,turkey meat with bone,6,2.075,2.13,0.2629163365,1.58,2.35,0.17,1.975,2.285,0.1267066682,-0.791374,2.415261,0.35654,Y,G,G,ITEM
141,RABBIT MEAT WITH BONE*,-,rabbit meat with bone,2,4.305,4.305,1.275,3.03,5.58,1.275,3.6675,4.9425,0.2961672474,-,-,-,R,n.a,R,ITEM matching with TYPOLOGY
142,SNAILS*,-,snails,1,0.73,0.73,-,0.73,0.73,-,0.73,0.73,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
143,YOGURT,-,yogurt flavoured,14,2.812144286,2.8532,0.3632628464,2.15804,3.85,0.1287,2.61735,2.9195,0.1291764609,1.149384,5.608231,0.02425,G,G,Y,ITEM
144,YOGURT,-,yogurt lactose free,4,3.16,3.47,0.554436651,2.2,3.5,0.02,3.145,3.485,0.1754546364,-1.152,2.332,0.003,Y,G,R,ITEM or TYPOLOGY
145,YOGURT,-,yogurt white,20,2.095343049,1.69,0.9783878948,1.170491803,4.07,0.41,1.31,2.41749,0.4669344694,1.006,2.503,0.001,G,G,R,ITEM
146,COFFEE GREEN*,-,coffee green,8,0.494625,0.486,0.1379709548,0.285,0.707,0.0905,0.39575,0.55,0.2789405202,0.3553143,2.084786,0.30969,Y,G,G,ITEM
147,DRIED FRUIT,-,date,2,0.6,0.6,0.28,0.32,0.88,0.28,0.46,0.74,0.4666666667,-,-,-,R,G,R,TYPOLOGY
